,ID,State,Name,County,Lat,Lon,Combust,Fuel,FuelCat,Capacity,HeatInput,NetGen,NOX,SO2,CO2,CoalGen,OilGen,GasGen,NuclearGen,HydroGen,BiomassGen,WindGen,SolarGen,GeoGen,OtherFossilGen,OtherGen,NonRenewGen,RenewGen,CombGen,NonCombGen,CoalPortion,CapFac,SO2OutRate,CO2OutRate,NOXOutRate,NOXInRate,CO2InRate,SO2InRate
25,26,AK,False Island,Prince of Wales,55.4889,-133.1339,1.0,DFO,OIL,1.3,2929.0,295.0,3.57,0.12,239.6,0.0,295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295.0,0.0,295.0,0.0,0.0,0.025904460835967685,0.00040677966101694915,0.8122033898305084,0.012101694915254237,0.0012188460225332877,0.08180266302492319,4.096961420279959e-05
26,27,AK,Fort Greely Power Plant,Southeast Fairbanks,63.0947,-145.7172,1.0,DFO,OIL,10.4,5069.4,507.6,6.18,0.21,414.7,0.0,507.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,507.6,0.0,507.6,0.0,0.0,0.005571654373024236,0.00041371158392434983,0.8169818754925138,0.012174940898345152,0.001219079180968162,0.08180455280703831,4.142502071251036e-05
27,28,AK,Galena Electric Utility,Yukon-Koyukuk,64.7407,-156.9551,1.0,DFO,OIL,5.0,51187.0,6022.0,62.4,2.15,4187.7,0.0,6022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6022.0,0.0,6022.0,0.0,0.0,0.13748858447488585,0.00035702424443706407,0.6954001992693457,0.010362005978080372,0.001219059526832985,0.08181178814933479,4.200285228671342e-05
28,29,AK,Gambell,Nome,63.7667,-171.7375,1.0,JF,OIL,1.6,13160.0,1557.0,16.04,0.0,1051.6,0.0,1557.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1557.0,0.0,1557.0,0.0,0.0,0.1110873287671233,0.0,0.6754014129736673,0.010301862556197815,0.0012188449848024316,0.07990881458966564,0.0
29,30,AK,George M Sullivan Generation Plant 2,Anchorage,61.1344,-149.0846,1.0,NG,GAS,266.3,11153419.0,1048415.0,954.08,19.36,652654.3,0.0,531.8,1047883.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1048415.0,0.0,1048415.0,0.0,0.0,0.4494257515042087,1.8465970059566105e-05,0.622515225364002,0.0009100213178941546,8.554148284037388e-05,0.05851607475698708,1.735790612726017e-06
30,31,AK,Glennallen,Valdez-Cordova,61.9769,-146.5494,1.0,DFO,OIL,10.7,64913.0,5336.0,79.13,2.67,5310.7,0.0,5336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5336.0,0.0,5336.0,0.0,0.0,0.05692826355993684,0.0005003748125937031,0.9952586206896551,0.014829460269865067,0.0012190162217121376,0.081812579914655,4.113197664566419e-05
31,32,AK,Goat Lake Hydro,Skagway-Hoonah-Angoon,59.455,-135.3264,0.0,WAT,HYDRO,4.0,0.0,15705.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15705.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15705.0,0.0,15705.0,0.0,0.4482020547945205,0.0,0.0,0.0,,,
32,33,AK,Gold Creek,Juneau,58.3,-134.4061,0.5,DFO,HYDRO,9.7,244.0,4547.0,0.3,0.01,20.0,0.0,17.0,0.0,0.0,4530.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,4530.0,17.0,4530.0,0.0,0.05351174504542673,2.1992522542335605e-06,0.004398504508467121,6.597756762700682e-05,0.0012295081967213114,0.08196721311475409,4.098360655737705e-05
33,34,AK,Green Lake,Sitka,56.9858,-135.1211,0.0,WAT,HYDRO,18.6,0.0,58101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58101.0,0.0,58101.0,0.0,0.3565878627191044,0.0,0.0,0.0,,,
34,35,AK,Gwitchyaa Zhee,Yukon-Koyukuk,66.5208,-145.3064,1.0,DFO,OIL,2.2,22933.0,2698.0,27.96,0.94,1876.2,0.0,2698.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2698.0,0.0,2698.0,0.0,0.0,0.1399958488999585,0.00034840622683469236,0.6954040029651594,0.010363232023721275,0.0012192037674966206,0.08181223564295993,4.098896786290498e-05
